Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000548
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:14:15;06:11:49;20.07.2019;Y;09;43 39.17406 N;005 34.85390 E;13.405;24.8;272.65;374.4;27.625;23.375;61.203;976.289;8.7;66673
$;00:14:17;06:11:51;20.07.2019;Y;09;43 39.17496 N;005 34.84281 E;15.273;28.2;275.24;380.7;27.500;23.250;73.875;975.289;8.7;66673
$;00:14:19;06:11:53;20.07.2019;Y;09;43 39.17627 N;005 34.83183 E;15.006;27.7;282.24;386.3;27.375;23.375;61.951;974.880;8.7;66673
$;00:14:21;06:11:55;20.07.2019;Y;09;43 39.17786 N;005 34.82127 E;13.614;25.2;282.20;393.5;27.625;23.500;61.478;974.150;8.7;66673
$;00:14:23;06:11:57;20.07.2019;Y;09;43 39.18009 N;005 34.81119 E;13.399;24.8;288.24;398.5;27.750;23.500;61.279;973.289;8.7;66673
$;00:14:25;06:11:59;20.07.2019;Y;09;43 39.18293 N;005 34.80124 E;15.010;27.7;294.43;405.8;27.625;23.250;77.759;972.780;8.7;66673
$;00:14:27;06:12:01;20.07.2019;Y;09;43 39.18629 N;005 34.79102 E;14.452;26.7;293.58;411.0;27.500;23.500;61.104;972.219;8.7;66673
$;00:14:29;06:12:03;20.07.2019;Y;09;43 39.18879 N;005 34.78128 E;13.365;24.7;289.41;416.6;27.500;23.250;62.80;971.390;8.7;66673
$;00:14:31;06:12:05;20.07.2019;Y;09;43 39.18975 N;005 34.77194 E;12.543;23.2;282.61;424.6;27.500;23.250;61.508;970.669;8.7;66673
$;00:14:33;06:12:07;20.07.2019;Y;09;43 39.19177 N;005 34.76252 E;12.832;23.7;286.88;432.2;27.500;23.500;61.974;969.890;8.7;66673
$;00:14:35;06:12:09;20.07.2019;Y;09;43 39.19403 N;005 34.75277 E;12.816;23.7;281.88;443.0;27.375;23.250;61.806;969.190;8.7;66673
$;00:14:37;06:12:11;20.07.2019;Y;09;43 39.19635 N;005 34.74255 E;14.172;26.2;284.87;451.1;27.375;23.375;68.459;968.130;8.7;66673
$;00:14:39;06:12:13;20.07.2019;Y;09;43 39.19856 N;005 34.73283 E;13.889;25.7;286.15;458.2;27.625;23.250;72.784;967.679;8.7;66673
$;00:14:41;06:12:15;20.07.2019;Y;09;43 39.20116 N;005 34.72307 E;14.127;26.1;295.29;465.2;27.500;23.250;62.210;966.979;8.7;66673
$;00:14:43;06:12:17;20.07.2019;Y;09;43 39.20472 N;005 34.71279 E;15.055;27.8;295.33;470.4;27.625;23.250;62.378;966.309;8.7;66673
$;00:14:45;06:12:19;20.07.2019;Y;09;43 39.20831 N;005 34.70201 E;15.897;29.4;294.52;477.5;27.500;23.125;63.133;965.70;8.7;66673
$;00:14:47;06:12:21;20.07.2019;Y;09;43 39.21228 N;005 34.69170 E;15.500;28.7;300.06;483.6;27.500;23.250;73.303;964.760;8.7;66673
$;00:14:49;06:12:23;20.07.2019;Y;09;43 39.21660 N;005 34.68230 E;14.075;26.0;304.78;490.6;27.500;23.250;62.897;964.80;8.7;66673
$;00:14:51;06:12:25;20.07.2019;Y;09;43 39.22107 N;005 34.67363 E;13.294;24.6;303.49;497.2;27.375;23.375;62.637;963.210;8.7;66673
$;00:14:53;06:12:27;20.07.2019;Y;09;43 39.22517 N;005 34.66457 E;13.757;25.4;301.17;503.0;27.625;23.125;63.57;962.20;8.7;66673
$;00:14:55;06:12:29;20.07.2019;Y;09;43 39.22956 N;005 34.65494 E;15.892;29.4;304.87;509.6;27.625;23.250;87.769;961.460;8.7;66673
$;00:14:57;06:12:31;20.07.2019;Y;08;43 39.23492 N;005 34.64475 E;16.471;30.5;305.08;515.5;27.750;23.125;62.264;961.150;8.7;66673
$;00:14:59;06:12:33;20.07.2019;Y;08;43 39.23907 N;005 34.63425 E;14.545;26.9;294.96;521.0;27.625;23.250;61.951;960.349;8.7;66673
$;00:15:01;06:12:35;20.07.2019;Y;08;43 39.24253 N;005 34.62404 E;14.389;26.6;294.68;526.6;27.500;23.0;70.595;959.609;8.7;66673
$;00:15:03;06:12:37;20.07.2019;Y;08;43 39.24602 N;005 34.61439 E;14.556;26.9;301.25;532.8;27.500;23.125;61.340;959.130;8.7;66673
$;00:15:05;06:12:39;20.07.2019;Y;08;43 39.25006 N;005 34.60444 E;14.768;27.3;296.03;538.3;27.500;23.375;60.783;958.260;8.7;66673
$;00:15:07;06:12:41;20.07.2019;Y;08;43 39.25382 N;005 34.59375 E;15.452;28.6;293.35;544.9;27.625;23.0;90.759;957.609;8.7;66673
$;00:15:09;06:12:43;20.07.2019;Y;08;43 39.25731 N;005 34.58367 E;14.773;27.3;299.35;550.6;27.625;23.0;60.310;956.929;8.7;66673
$;00:15:11;06:12:45;20.07.2019;Y;08;43 39.26167 N;005 34.57343 E;15.857;29.3;303.47;556.0;27.750;23.250;60.173;956.369;8.7;66673
$;00:15:13;06:12:47;20.07.2019;Y;08;43 39.26620 N;005 34.56194 E;17.789;32.9;295.87;559.9;27.750;23.125;63.904;955.289;8.7;66673
$;00:15:15;06:12:49;20.07.2019;Y;08;43 39.27049 N;005 34.54990 E;17.486;32.3;297.36;566.0;27.750;23.125;59.303;954.840;8.7;66673
$;00:15:17;06:12:51;20.07.2019;Y;08;43 39.27499 N;005 34.53877 E;16.065;29.7;304.32;570.4;27.625;23.375;58.891;954.270;8.7;66673
$;00:15:19;06:12:53;20.07.2019;Y;08;43 39.28065 N;005 34.52826 E;16.961;31.4;306.22;576.5;27.750;23.250;58.586;952.940;8.7;66673
$;00:15:21;06:12:55;20.07.2019;Y;08;43 39.28596 N;005 34.51738 E;17.809;32.9;300.85;583.3;27.625;23.125;90.958;952.719;8.7;66673
$;00:15:23;06:12:57;20.07.2019;Y;08;43 39.29086 N;005 34.50590 E;17.762;32.8;300.75;589.8;27.500;23.125;57.549;952.169;8.7;66673
$;00:15:25;06:12:59;20.07.2019;Y;08;43 39.29584 N;005 34.49462 E;16.894;31.2;305.34;595.1;27.750;23.250;57.411;951.469;8.7;66673
$;00:15:27;06:13:01;20.07.2019;Y;08;43 39.30182 N;005 34.48363 E;17.628;32.6;306.06;600.1;27.625;23.250;56.892;950.380;8.7;66673
$;00:15:29;06:13:03;20.07.2019;Y;08;43 39.30714 N;005 34.47186 E;19.037;35.2;298.13;607.4;27.625;23.125;83.939;949.950;8.7;66673
$;00:15:31;06:13:05;20.07.2019;Y;08;43 39.31180 N;005 34.45932 E;18.770;34.7;297.75;614.1;27.625;23.250;55.519;949.479;8.7;66673
$;00:15:33;06:13:07;20.07.2019;Y;08;43 39.31687 N;005 34.44698 E;18.599;34.4;305.70;619.4;27.750;23.250;54.825;948.830;8.7;66673
$;00:15:35;06:13:09;20.07.2019;Y;08;43 39.32344 N;005 34.43533 E;18.993;35.1;307.66;625.1;27.750;23.250;60.577;947.830;8.7;66673
$;00:15:37;06:13:11;20.07.2019;Y;08;43 39.32950 N;005 34.42357 E;19.251;35.6;303.64;630.3;27.750;23.375;52.795;947.270;8.7;66673
$;00:15:39;06:13:13;20.07.2019;Y;08;43 39.33470 N;005 34.41119 E;17.929;33.2;301.22;636.0;27.750;23.375;52.597;946.780;8.7;66673
$;00:15:41;06:13:15;20.07.2019;Y;09;43 39.34023 N;005 34.39922 E;18.365;34.0;303.75;642.0;27.625;23.375;64.743;945.750;8.7;66673
$;00:15:43;06:13:17;20.07.2019;Y;09;43 39.34669 N;005 34.38822 E;18.824;34.8;311.08;648.5;27.625;23.375;51.506;945.479;8.7;66673
$;00:15:45;06:13:19;20.07.2019;Y;09;43 39.35270 N;005 34.37812 E;16.417;30.4;310.42;654.0;27.750;23.375;50.926;944.820;8.7;66673
$;00:15:47;06:13:21;20.07.2019;Y;09;43 39.35804 N;005 34.36821 E;15.557;28.8;306.11;659.5;27.750;23.500;50.423;943.909;8.7;66673
$;00:15:49;06:13:23;20.07.2019;Y;08;43 39.36345 N;005 34.35801 E;17.083;31.6;303.88;665.1;27.750;23.500;71.724;942.919;8.7;66673
$;00:15:51;06:13:25;20.07.2019;Y;08;43 39.36883 N;005 34.34770 E;16.534;30.6;306.24;671.8;27.625;23.500;50.316;942.789;8.7;66673
$;00:15:53;06:13:27;20.07.2019;Y;08;43 39.37386 N;005 34.33800 E;14.572;26.9;306.56;679.1;27.750;23.500;50.308;941.950;8.7;66673
$;00:15:55;06:13:29;20.07.2019;Y;09;43 39.37872 N;005 34.32855 E;14.899;27.5;305.70;686.4;27.625;23.625;49.927;941.270;8.7;66673
$;00:15:57;06:13:31;20.07.2019;Y;09;43 39.38400 N;005 34.31912 E;15.823;29.3;304.91;693.3;27.500;23.625;73.120;940.150;8.7;66673
$;00:15:59;06:13:33;20.07.2019;Y;09;43 39.38914 N;005 34.30898 E;16.643;30.8;305.13;699.5;27.875;23.625;49.774;940.0;8.7;66673
$;00:16:01;06:13:35;20.07.2019;Y;09;43 39.39418 N;005 34.29901 E;15.202;28.1;308.60;705.7;27.750;23.625;49.744;939.159;8.7;66673
$;00:16:03;06:13:37;20.07.2019;Y;09;43 39.39967 N;005 34.29041 E;13.889;25.7;311.82;712.9;27.750;23.500;49.286;938.299;8.7;66673
$;00:16:05;06:13:39;20.07.2019;Y;09;43 39.40570 N;005 34.28262 E;15.225;28.1;315.06;719.6;27.750;23.500;72.762;937.409;8.7;66673
$;00:16:07;06:13:41;20.07.2019;Y;09;43 39.41185 N;005 34.27468 E;15.647;28.9;317.40;724.8;27.625;23.625;49.49;937.30;8.7;66673
$;00:16:09;06:13:43;20.07.2019;Y;09;43 39.41751 N;005 34.26723 E;12.833;23.7;317.22;731.2;27.750;23.625;48.714;936.479;8.7;66673
$;00:16:11;06:13:45;20.07.2019;Y;09;43 39.42257 N;005 34.26106 E;11.266;20.8;317.43;737.9;27.750;23.750;48.210;935.169;8.7;66673
$;00:16:13;06:13:47;20.07.2019;Y;09;43 39.42728 N;005 34.25518 E;12.427;23.0;317.74;743.9;27.625;23.625;74.43;934.640;8.7;66673
$;00:16:15;06:13:49;20.07.2019;Y;09;43 39.43256 N;005 34.24872 E;14.155;26.2;318.91;750.8;27.875;23.875;46.593;934.309;8.7;66673
$;00:16:17;06:13:51;20.07.2019;Y;09;43 39.43744 N;005 34.24234 E;11.333;20.9;317.90;756.9;27.750;23.875;45.944;933.520;8.7;66673
$;00:16:19;06:13:53;20.07.2019;Y;09;43 39.44162 N;005 34.23642 E;9.965;18.4;313.29;763.7;27.625;23.875;45.29;932.130;8.7;66673
$;00:16:21;06:13:55;20.07.2019;Y;09;43 39.44556 N;005 34.23052 E;11.413;21.1;313.36;769.6;27.625;23.875;73.471;931.729;8.7;66673
$;00:16:23;06:13:57;20.07.2019;Y;09;43 39.44974 N;005 34.22357 E;12.733;23.5;310.92;775.7;27.750;23.750;44.121;931.369;8.7;66673
$;00:16:25;06:13:59;20.07.2019;Y;09;43 39.45419 N;005 34.21647 E;11.222;20.7;311.37;782.2;27.750;24.0;44.121;930.729;8.7;66673
$;00:16:27;06:14:01;20.07.2019;Y;09;43 39.45863 N;005 34.21057 E;10.938;20.2;315.12;788.3;27.625;23.875;62.759;929.630;8.7;66673
$;00:16:29;06:14:03;20.07.2019;Y;09;43 39.46283 N;005 34.20471 E;11.257;20.8;314.60;793.2;27.625;23.875;43.83;929.380;8.7;66673
$;00:16:31;06:14:05;20.07.2019;Y;09;43 39.46651 N;005 34.19876 E;9.683;17.9;311.31;799.5;27.625;23.875;42.885;928.760;8.7;66673
$;00:16:33;06:14:07;20.07.2019;Y;09;43 39.46973 N;005 34.19289 E;9.321;17.2;305.78;805.7;27.750;24.0;41.985;927.650;8.7;66673
$;00:16:35;06:14:09;20.07.2019;Y;09;43 39.47267 N;005 34.18751 E;8.809;16.3;307.36;810.8;27.750;24.125;40.894;927.429;8.7;66673
$;00:16:37;06:14:11;20.07.2019;Y;09;43 39.47591 N;005 34.18287 E;8.034;14.8;315.08;816.9;27.875;24.0;40.16;926.780;8.7;66673
$;00:16:39;06:14:13;20.07.2019;Y;09;43 39.47953 N;005 34.17838 E;8.526;15.7;316.76;822.8;27.750;24.125;38.857;925.640;8.7;66673
$;00:16:41;06:14:15;20.07.2019;Y;09;43 39.48295 N;005 34.17396 E;8.392;15.5;316.85;830.4;27.750;23.875;72.296;925.380;8.7;66673
$;00:16:43;06:14:17;20.07.2019;Y;09;43 39.48611 N;005 34.16991 E;8.733;16.1;320.32;836.9;27.750;24.125;37.300;924.770;8.7;66673
$;00:16:45;06:14:19;20.07.2019;Y;09;43 39.49013 N;005 34.16630 E;8.562;15.8;327.25;844.0;27.750;24.125;36.751;924.99;8.7;66673
$;00:16:47;06:14:21;20.07.2019;Y;09;43 39.49430 N;005 34.16303 E;8.330;15.4;328.28;850.6;27.875;24.250;35.820;923.49;8.7;66673
$;00:16:49;06:14:23;20.07.2019;Y;09;43 39.49836 N;005 34.15966 E;8.137;15.0;326.87;857.7;27.750;24.125;61.241;922.320;8.7;66673
$;00:16:51;06:14:25;20.07.2019;Y;09;43 39.50222 N;005 34.15649 E;9.172;16.9;330.40;863.4;27.750;24.125;35.728;921.950;8.7;66673
$;00:16:53;06:14:27;20.07.2019;Y;06;43 39.50661 N;005 34.15329 E;9.043;16.7;330.47;870.3;27.750;24.375;34.996;921.200;8.7;66673
$;00:16:55;06:14:29;20.07.2019;Y;08;43 39.51162 N;005 34.14925 E;10.632;19.6;329.84;877.7;27.750;24.250;34.386;920.489;8.7;66673
$;00:16:57;06:14:31;20.07.2019;Y;08;43 39.51625 N;005 34.14580 E;8.935;16.5;331.96;883.8;27.750;24.250;56.351;919.320;8.7;66673
$;00:16:59;06:14:33;20.07.2019;Y;07;43 39.52105 N;005 34.14400 E;9.042;16.7;337.18;890.4;27.750;24.250;46.410;919.0;8.7;66673
$;00:17:01;06:14:35;20.07.2019;Y;08;43 39.52599 N;005 34.14116 E;10.267;19.0;337.08;897.1;27.750;24.375;33.890;918.250;8.7;66673
$;00:17:03;06:14:37;20.07.2019;Y;08;43 39.53044 N;005 34.13775 E;8.325;15.4;336.66;902.9;27.750;24.375;33.798;917.609;8.7;66673
$;00:17:05;06:14:39;20.07.2019;Y;09;43 39.53455 N;005 34.13602 E;7.458;13.8;342.74;910.0;27.750;24.375;33.363;916.690;8.7;66673
$;00:17:07;06:14:41;20.07.2019;Y;08;43 39.53885 N;005 34.13465 E;7.825;14.4;344.47;916.3;27.875;24.375;55.870;915.789;8.7;66673
$;00:17:09;06:14:43;20.07.2019;Y;08;43 39.54326 N;005 34.13264 E;8.211;15.2;340.12;923.8;27.750;24.250;41.977;915.280;8.7;66673
$;00:17:11;06:14:45;20.07.2019;Y;08;43 39.54715 N;005 34.13042 E;8.892;16.4;340.32;930.6;27.875;24.375;33.89;914.630;8.7;66673
$;00:17:13;06:14:47;20.07.2019;Y;09;43 39.55097 N;005 34.12809 E;7.229;13.3;338.02;937.6;27.875;24.375;33.379;913.799;8.7;66673
$;00:17:15;06:14:49;20.07.2019;Y;09;43 39.55463 N;005 34.12550 E;7.200;13.3;332.07;945.1;27.750;24.500;32.997;913.169;8.7;66673
$;00:17:17;06:14:51;20.07.2019;Y;09;43 39.55826 N;005 34.12226 E;8.226;15.2;325.81;952.6;27.750;24.375;32.967;911.859;8.7;66673
$;00:17:19;06:14:53;20.07.2019;Y;09;43 39.56250 N;005 34.11881 E;9.093;16.8;329.32;961.0;27.875;24.375;51.163;911.109;8.7;66673
$;00:17:21;06:14:55;20.07.2019;Y;09;43 39.56708 N;005 34.11645 E;9.663;17.8;337.72;969.2;27.875;24.500;32.822;910.700;8.7;66673
$;00:17:23;06:14:57;20.07.2019;Y;09;43 39.57213 N;005 34.11492 E;9.955;18.4;348.58;977.2;27.750;24.375;32.82;909.789;8.7;66673
$;00:17:25;06:14:59;20.07.2019;Y;09;43 39.57784 N;005 34.11344 E;10.255;18.9;349.06;984.6;28.0;24.500;32.417;909.179;8.7;66673
$;00:17:27;06:15:01;20.07.2019;Y;08;43 39.58331 N;005 34.11165 E;9.459;17.5;346.32;991.9;27.875;24.375;32.280;907.789;8.7;66673
$;00:17:29;06:15:03;20.07.2019;Y;08;43 39.58857 N;005 34.10962 E;9.756;18.0;344.90;999.8;27.750;24.375;63.965;907.270;8.7;66673
$;00:17:31;06:15:05;20.07.2019;Y;09;43 39.59284 N;005 34.10706 E;8.611;15.9;339.40;1006.4;27.750;24.375;32.188;906.809;8.7;66673
$;00:17:33;06:15:07;20.07.2019;Y;09;43 39.59725 N;005 34.10454 E;9.070;16.7;339.57;1013.4;27.750;24.250;32.28;906.270;8.7;66673
$;00:17:35;06:15:09;20.07.2019;Y;09;43 39.60237 N;005 34.10268 E;9.546;17.6;349.83;1021.0;27.750;24.375;31.837;905.299;8.7;66673
$;00:17:37;06:15:11;20.07.2019;Y;09;43 39.60776 N;005 34.10207 E;8.778;16.2;353.34;1028.1;27.750;24.375;39.604;904.219;8.7;66673
$;00:17:39;06:15:13;20.07.2019;Y;09;43 39.61233 N;005 34.10109 E;7.831;14.5;349.93;1036.0;27.750;24.250;50.530;903.989;8.7;66673
$;00:17:41;06:15:15;20.07.2019;Y;09;43 39.61637 N;005 34.09900 E;8.379;15.5;341.01;1042.7;27.750;24.250;31.822;903.200;8.7;66673
$;00:17:43;06:15:17;20.07.2019;Y;09;43 39.62056 N;005 34.09712 E;8.267;15.3;343.09;1049.5;28.0;24.250;31.837;902.489;8.7;66673
$;00:17:45;06:15:19;20.07.2019;Y;09;43 39.62539 N;005 34.09576 E;8.409;15.5;347.80;1056.5;28.0;24.500;31.372;901.780;8.7;66673
$;00:17:47;06:15:21;20.07.2019;Y;09;43 39.62981 N;005 34.09379 E;7.975;14.7;340.12;1063.3;27.875;24.375;31.136;900.559;8.7;66673
$;00:17:49;06:15:23;20.07.2019;Y;09;43 39.63426 N;005 34.09086 E;9.430;17.4;335.54;1070.2;27.750;24.250;62.279;899.969;8.7;66673
$;00:17:51;06:15:25;20.07.2019;Y;09;43 39.63900 N;005 34.08787 E;10.004;18.5;335.75;1077.4;28.0;24.250;31.136;899.409;8.7;66673
$;00:17:53;06:15:27;20.07.2019;Y;09;43 39.64379 N;005 34.08498 E;9.214;17.0;340.49;1084.4;27.750;24.250;31.296;898.849;8.7;66673
$;00:17:55;06:15:29;20.07.2019;Y;09;43 39.64831 N;005 34.08326 E;7.308;13.5;346.50;1091.8;27.875;24.250;31.204;898.169;8.7;66673
$;00:17:57;06:15:31;20.07.2019;Y;09;43 39.65202 N;005 34.08196 E;6.553;12.1;344.36;1098.5;28.0;24.250;31.82;896.750;8.7;66673
$;00:17:59;06:15:33;20.07.2019;Y;09;43 39.65595 N;005 34.08093 E;7.776;14.4;346.49;1106.0;27.875;24.250;55.100;896.99;8.7;66673
$;00:18:01;06:15:35;20.07.2019;Y;09;43 39.66086 N;005 34.07944 E;9.622;17.8;346.44;1113.3;28.0;24.125;31.586;895.789;8.7;66673
$;00:18:03;06:15:37;20.07.2019;Y;09;43 39.66568 N;005 34.07777 E;9.151;16.9;346.48;1120.6;27.875;24.250;29.755;895.159;8.7;66673
$;00:18:05;06:15:39;20.07.2019;Y;09;43 39.67033 N;005 34.07621 E;8.021;14.8;348.78;1127.8;28.0;24.250;29.732;894.320;8.7;66673
$;00:18:07;06:15:41;20.07.2019;Y;08;43 39.67508 N;005 34.07460 E;8.323;15.4;346.22;1134.4;27.875;24.0;29.617;893.30;8.7;66673
$;00:18:09;06:15:43;20.07.2019;Y;09;43 39.67970 N;005 34.07236 E;8.824;16.3;342.73;1142.3;27.875;23.875;56.503;892.580;8.7;66673
$;00:18:11;06:15:45;20.07.2019;Y;09;43 39.68365 N;005 34.06967 E;8.171;15.1;336.19;1149.4;28.0;24.125;29.854;892.30;8.7;66673
$;00:18:13;06:15:47;20.07.2019;Y;09;43 39.68788 N;005 34.06734 E;8.964;16.6;338.90;1156.9;28.0;24.125;29.663;891.309;8.7;66673
$;00:18:15;06:15:49;20.07.2019;Y;09;43 39.69322 N;005 34.06518 E;10.185;18.8;344.93;1163.3;28.0;24.0;29.755;890.630;8.7;66673
$;00:18:17;06:15:51;20.07.2019;Y;09;43 39.69871 N;005 34.06335 E;9.427;17.4;346.58;1170.1;27.750;24.0;29.533;889.349;8.7;66673
$;00:18:19;06:15:53;20.07.2019;Y;09;43 39.70391 N;005 34.06269 E;9.041;16.7;352.68;1177.5;28.0;24.0;53.230;888.679;8.7;66673
$;00:18:21;06:15:55;20.07.2019;Y;09;43 39.70898 N;005 34.06364 E;9.604;17.7;7.17;1184.2;28.0;24.125;29.259;888.520;8.7;66673
$;00:18:23;06:15:57;20.07.2019;Y;09;43 39.71339 N;005 34.06465 E;7.698;14.2;9.85;1190.3;27.875;24.0;29.434;887.650;8.7;66673
$;00:18:25;06:15:59;20.07.2019;Y;09;43 39.71750 N;005 34.06499 E;7.111;13.1;4.50;1196.9;28.125;23.875;29.137;886.909;8.7;66673
$;00:18:27;06:16:01;20.07.2019;Y;09;43 39.72175 N;005 34.06552 E;6.698;12.4;5.28;1203.7;28.0;24.0;40.291;885.989;8.7;66673
$;00:18:29;06:16:03;20.07.2019;Y;09;43 39.72532 N;005 34.06628 E;6.055;11.2;7.20;1210.6;27.875;24.0;62.294;885.440;8.7;66673
$;00:18:31;06:16:05;20.07.2019;Y;09;43 39.72850 N;005 34.06659 E;5.969;11.0;4.24;1217.5;28.125;23.875;29.541;885.0;8.7;66673
$;00:18:33;06:16:07;20.07.2019;Y;09;43 39.73160 N;005 34.06661 E;5.776;10.6;1.59;1224.8;28.0;23.875;29.587;884.239;8.7;66673
$;00:18:35;06:16:09;20.07.2019;Y;09;43 39.73515 N;005 34.06679 E;6.343;11.7;3.15;1233.0;28.0;23.875;29.602;883.469;8.7;66673
$;00:18:37;06:16:11;20.07.2019;Y;09;43 39.73890 N;005 34.06699 E;6.176;11.4;3.12;1239.7;28.125;24.0;29.190;882.679;8.7;66673
$;00:18:39;06:16:13;20.07.2019;Y;09;43 39.74239 N;005 34.06757 E;5.212;9.6;6.10;1246.6;28.0;23.625;51.170;881.780;8.7;66673
$;00:18:41;06:16:15;20.07.2019;Y;09;43 39.74526 N;005 34.06832 E;5.247;9.7;7.64;1254.5;28.0;23.875;46.486;881.409;8.7;66673
$;00:18:43;06:16:17;20.07.2019;Y;09;43 39.74867 N;005 34.06914 E;8.124;15.0;7.61;1262.1;28.125;23.750;29.861;880.770;8.7;66673
$;00:18:45;06:16:19;20.07.2019;Y;09;43 39.75276 N;005 34.07007 E;7.934;14.6;9.73;1269.0;28.0;23.875;29.419;880.39;8.7;66673
$;00:18:47;06:16:21;20.07.2019;Y;09;43 39.75664 N;005 34.07121 E;6.420;11.8;14.23;1276.3;28.0;23.875;29.770;879.280;8.7;66673
$;00:18:49;06:16:23;20.07.2019;Y;09;43 39.75956 N;005 34.07235 E;4.763;8.8;17.24;1283.5;28.125;23.750;29.488;878.489;8.7;66673
$;00:18:51;06:16:25;20.07.2019;Y;09;43 39.76292 N;005 34.07322 E;5.833;10.8;9.48;1290.2;28.0;23.625;29.739;877.510;8.7;66673
$;00:18:53;06:16:27;20.07.2019;Y;09;43 39.76652 N;005 34.07379 E;6.749;12.4;5.02;1296.9;27.875;23.500;51.811;876.780;8.7;66673
$;00:18:55;06:16:29;20.07.2019;Y;09;43 39.77010 N;005 34.07439 E;6.316;11.6;5.97;1304.5;27.750;23.500;41.832;876.369;8.7;66673
$;00:18:57;06:16:31;20.07.2019;Y;09;43 39.77376 N;005 34.07559 E;7.921;14.6;12.72;1310.8;28.125;23.500;29.915;875.630;8.7;66673
$;00:18:59;06:16:33;20.07.2019;Y;09;43 39.77808 N;005 34.07728 E;8.883;16.4;16.04;1317.8;28.125;23.625;29.800;874.880;8.7;66673
$;00:19:01;06:16:35;20.07.2019;Y;09;43 39.78335 N;005 34.07842 E;9.765;18.0;10.20;1324.7;28.125;23.500;30.220;874.340;8.7;66673
$;00:19:03;06:16:37;20.07.2019;Y;09;43 39.78821 N;005 34.07912 E;7.234;13.3;8.10;1331.2;28.125;23.375;30.75;873.349;8.7;66673
$;00:19:05;06:16:39;20.07.2019;Y;09;43 39.79203 N;005 34.08022 E;5.861;10.8;10.29;1338.3;27.875;23.500;47.836;872.409;8.7;66673
$;00:19:07;06:16:41;20.07.2019;Y;09;43 39.79578 N;005 34.08081 E;7.574;14.0;7.76;1345.5;28.0;23.375;68.504;871.830;8.7;66673
$;00:19:09;06:16:43;20.07.2019;Y;09;43 39.80062 N;005 34.08015 E;10.126;18.7;353.90;1352.6;28.0;23.250;30.441;871.239;8.7;66673
$;00:19:11;06:16:45;20.07.2019;Y;09;43 39.80550 N;005 34.07921 E;8.421;15.5;355.05;1360.0;28.0;23.250;30.563;870.609;8.7;66673
$;00:19:13;06:16:47;20.07.2019;Y;09;43 39.80995 N;005 34.07901 E;6.551;12.1;356.38;1368.3;28.0;23.250;30.960;869.979;8.7;66673
$;00:19:15;06:16:49;20.07.2019;Y;09;43 39.81417 N;005 34.07854 E;7.523;13.9;355.12;1375.6;28.0;23.125;30.762;869.140;8.7;66673
$;00:19:17;06:16:51;20.07.2019;Y;09;43 39.81872 N;005 34.07728 E;7.628;14.1;348.29;1382.7;28.125;23.125;30.838;867.880;8.7;66673
$;00:19:19;06:16:53;20.07.2019;Y;09;43 39.82298 N;005 34.07662 E;7.716;14.2;353.38;1389.2;27.875;23.0;53.513;867.229;8.7;66673
$;00:19:21;06:16:55;20.07.2019;Y;09;43 39.82714 N;005 34.07663 E;7.806;14.4;0.31;1395.1;28.125;23.0;52.605;866.849;8.7;66673
$;00:19:23;06:16:57;20.07.2019;Y;09;43 39.83173 N;005 34.07590 E;9.172;16.9;350.44;1402.2;28.0;23.125;31.143;866.359;8.7;66673
$;00:19:25;06:16:59;20.07.2019;Y;09;43 39.83643 N;005 34.07375 E;9.072;16.8;344.02;1409.9;28.125;22.875;31.120;865.530;8.7;66673
$;00:19:27;06:17:01;20.07.2019;Y;09;43 39.84168 N;005 34.07202 E;9.543;17.6;347.29;1417.4;27.875;22.875;31.273;864.710;8.7;66673
$;00:19:29;06:17:03;20.07.2019;Y;09;43 39.84735 N;005 34.07093 E;10.697;19.8;352.52;1425.9;28.0;22.750;30.968;864.150;8.7;66673
$;00:19:31;06:17:05;20.07.2019;Y;09;43 39.85337 N;005 34.06964 E;10.385;19.2;349.67;1432.8;28.0;22.875;30.556;862.650;8.7;66673
$;00:19:33;06:17:07;20.07.2019;Y;09;43 39.85929 N;005 34.06792 E;10.996;20.3;348.90;1440.0;28.125;22.500;52.849;862.130;8.7;66673
$;00:19:35;06:17:09;20.07.2019;Y;09;43 39.86525 N;005 34.06759 E;11.225;20.7;359.16;1447.0;28.125;22.500;48.409;861.750;8.7;66673
$;00:19:37;06:17:11;20.07.2019;Y;09;43 39.87114 N;005 34.06878 E;11.676;21.6;6.59;1454.2;28.125;22.625;29.800;861.179;8.7;66673
$;00:19:39;06:17:13;20.07.2019;Y;09;43 39.87690 N;005 34.06880 E;10.955;20.2;357.99;1460.9;28.0;22.750;29.511;860.429;8.7;66673
$;00:19:41;06:17:15;20.07.2019;Y;09;43 39.88258 N;005 34.06612 E;9.841;18.2;343.02;1468.4;28.125;22.625;29.53;859.739;8.7;66673
$;00:19:43;06:17:17;20.07.2019;Y;09;43 39.88748 N;005 34.06360 E;8.319;15.4;342.86;1475.1;28.125;22.375;28.778;858.440;8.7;66673
